x_m,y_m,heading_rad,curvature_1_m
78.0,0.0,1.5951403844999454,0.0056379109252395684
77.89310371085676,4.390195457241445,1.6197957667705176,0.0056379109252395684
77.57270783872532,8.732291014345892,1.670057947782437,0.011638426640188479
77.03969056642075,12.978713763747791,1.7229160967989134,0.012503660556783524
76.29551285723684,17.082939009183605,1.7798467788463834,0.01387373243245876
75.34221445054733,20.999999999999996,1.8425451129211878,0.015869645129416944
74.18240827102197,24.68698059628387,1.9129958585557123,0.01866308421381722
72.81927326678174,28.103485467072048,1.9935191930718208,0.022475480931598197
71.25654569612287,31.212082670050552,2.0867404470119393,0.02755156138978613
69.49850888669269,33.97871376374779,2.1953831229898144,0.034070588340883196
67.54998149518622,36.373066958946424,2.3217280994499587,0.041942522928188744
65.41630429974308,38.36890922098924,2.466598151581029,0.05047509443789415
63.1033255612459,39.944373684396446,2.6279933090467074,0.058091150605962205
60.61738499364373,41.08219923081984,2.800109409639341,0.06257758464234914
57.96529638723675,41.76991960546748,2.9738960947566513,0.062197064502741074
55.15432893255071,42.0,3.139517210860043,0.05693410151136319
52.19218729599094,41.769919605467486,3.289329577396532,0.04852555679948688
49.08699050188733,41.08219923081984,3.4194462230511338,0.039233823980736625
45.84724967881291,39.94437368439645,3.529384499390784,0.030691530281629378
42.481844731172124,38.36890922098924,3.6207543649302276,0.023609819646349794
39.00000000000001,36.373066958946424,3.6960187621351306,0.01805911681715126
35.41125897968465,33.97871376374779,3.757721726822578,0.013821658936264306
31.725458159912428,31.212082670050567,3.8081312355306824,0.01061129158500349
27.95270006453343,28.10348546707205,3.849129162901084,0.008168432757135058
24.103325561245903,24.686980596283878,3.88221722807227,0.006286363910331684
20.18788551799662,20.999999999999996,3.9085651715261505,0.004809296540387625
16.21711188378522,17.0829390091836,3.929066640870946,0.003622127442609925
12.201888273138012,12.978713763747795,3.9443890868456726,0.00263968515959574
8.15322013487697,8.732291014345892,3.9550135349553726,0.0017977892130678368
4.082204586949612,4.390195457241438,3.9612639425563714,0.0010463576108139412
2.209560170082712e-14,2.3795263370121516e-14,3.963327074428811,0.0003441505409432289
-4.082204586949603,-4.390195457241428,3.9612639425563714,-0.0003453832773121179
-8.15322013487696,-8.732291014345881,3.955013534955373,-0.0010576599822507175
-12.201888273138003,-12.978713763747786,3.9443890868456726,-0.0018303714589974858
-16.21711188378523,-17.082939009183608,3.9290666408709463,-0.0027071995357135802
-20.18788551799661,-20.99999999999999,3.908565171526151,-0.0037423090375770453
-24.103325561245892,-24.686980596283867,3.8822172280722707,-0.005006150100431757
-27.95270006453342,-28.103485467072048,3.8491291629010846,-0.006593114677976668
-31.725458159912403,-31.21208267005055,3.8081312355306833,-0.00863137457402897
-35.41125897968464,-33.97871376374779,3.757721726822578,-0.011294272737204444
-38.999999999999986,-36.37306695894641,3.6960187621351306,-0.014809740264831636
-42.48184473117209,-38.368909220989224,3.620754364930228,-0.01945689864545343
-45.847249678812894,-39.944373684396446,3.529384499390784,-0.025523683641575687
-49.08699050188731,-41.08219923081983,3.4194462230511338,-0.03317627773712277
-52.19218729599092,-41.76991960546748,3.289329577396533,-0.04218473448302508
-55.154328932550705,-42.0,3.1395172108600455,-0.051542558572508786
-57.965296387236734,-41.769919605467486,2.9738960947566504,-0.059302101900896936
-60.61738499364373,-41.08219923081983,2.8001094096393415,-0.06317887478670756
-63.103325561245896,-39.94437368439645,2.6279933090467082,-0.0619129771591007
-65.41630429974306,-38.368909220989245,2.466598151581029,-0.056185223909000416
-67.54998149518622,-36.373066958946424,2.3217280994499605,-0.04805195592220831
-69.49850888669269,-33.9787137637478,2.1953831229898144,-0.03959458367058764
-71.25654569612287,-31.21208267005055,2.0867404470119384,-0.032092699318085165
-72.81927326678174,-28.10348546707204,1.9935191930718212,-0.026010123391887602
-74.18240827102197,-24.68698059628388,1.9129958585557125,-0.021326002648963893
-75.34221445054733,-20.999999999999986,1.8425451129211874,-0.017828798248783365
-76.29551285723684,-17.082939009183605,1.779846778846382,-0.01527752401143997
-77.03969056642073,-12.9787137637478,1.7229160967989132,-0.013466019560575493
-77.57270783872532,-8.732291014345877,1.6700579477824384,-0.012238988157458327
-77.89310371085676,-4.390195457241443,1.6197957667705178,-0.011489706279743295
-78.0,-4.759052674024303e-14,1.5707963267948968,-0.011153335310877937
-77.89310371085676,4.390195457241423,1.5217968868192755,-0.011201283448457399
-77.57270783872532,8.732291014345858,1.4715347058073565,-0.011638426640188363
-77.03969056642075,12.97871376374778,1.4186765567908801,-0.0125036605567835
-76.29551285723684,17.082939009183587,1.3617458747434095,-0.013873732432458952
-75.34221445054733,20.999999999999968,1.2990475406686075,-0.015869645129416313
-74.18240827102198,24.686980596283863,1.2285967950340826,-0.018663084213817335
-72.81927326678175,28.103485467072026,1.1480734605179719,-0.022475480931598762
-71.25654569612287,31.21208267005056,1.0548522065778525,-0.027551561389786306
-69.49850888669269,33.978713763747784,0.9462095305999785,-0.034070588340882994
-67.54998149518623,36.37306695894641,0.8198645541398357,-0.04194252292818818
-65.41630429974308,38.36890922098924,0.6749945020087651,-0.05047509443789418
-63.10332556124591,39.944373684396446,0.5135993445430856,-0.05809115060596264
-60.61738499364374,41.08219923081983,0.3414832439504516,-0.06257758464234918
-57.96529638723675,41.76991960546748,0.167696558833143,-0.0621970645027405
-55.15432893255072,42.0,0.0020754427297499448,-0.056934101511363897
-52.19218729599096,41.769919605467486,-0.14773692380673817,-0.048525556799486724
-49.08699050188735,41.082199230819846,-0.2778535694613397,-0.03923382398073643
-45.847249678812915,39.94437368439645,-0.3877918458009907,-0.030691530281629353
-42.4818447311721,38.36890922098923,-0.47916171134043384,-0.023609819646349794
-39.000000000000036,36.373066958946445,-0.554426108545337,-0.01805911681715139
-35.41125897968466,33.978713763747805,-0.6161290732327853,-0.013821658936264474
-31.725458159912467,31.2120826700506,-0.66653858194089,-0.01061129158500351
-27.952700064533392,28.10348546707202,-0.7075365093112918,-0.008168432757135023
