step,time_s,x_m,y_m,speed_kmh,steer_deg,ed_m,ephi_deg,offroad,collision
1,0.05,77.99354254166691,0.3066403479126444,22.083,11.29739430342572,-0.05147757864612783,-1.72636271670315,False,False
2,0.1,77.98207383013055,0.6194611216598883,22.5382275,8.24644605520384,-0.056029046768257006,-0.8331096778673727,False,False
3,0.15000000000000002,77.96683239928903,0.9380867856223887,22.96727941875,5.809312108079675,-0.05710973818653449,-0.19411008883592573,False,False
4,0.2,77.94884192790227,1.262194265219308,23.371660852171875,3.9244027519196516,-0.05572546112899862,0.24433736763661018,False,False
5,0.25,77.92892231872882,1.5914922013925181,23.752790353171992,2.5085530312968918,-0.05268013740751445,0.5289079887457219,False,False
6,0.30000000000000004,77.9077112074533,1.9257087514240145,24.112004907864602,1.4746828337093585,-0.048596659015273984,0.6986550939700676,False,False
7,0.35000000000000003,77.88569025335265,2.264585194925851,24.450564625662388,0.7417457164385316,-0.012446641219460652,-0.040407916394395275,False,False
8,0.4,77.86321237984025,2.60787309278063,24.769657159686798,0.2393416750484104,-0.012519369002951253,-0.012112547367638362,False,False
9,0.45,77.84052755450809,2.955333388088984,25.07040187300481,-0.09090957881523468,-0.012659087509939548,-0.02299046636154195,False,False
10,0.5,77.81780575899764,3.3067364140667057,25.353853765307033,-0.2957723268345519,-0.013020358326631981,-0.0587819656681915,False,False
11,0.55,77.79515655237115,3.6618622085578374,25.62100717380188,-0.41166184256245286,-0.01369808653961542,-0.109122613409353,False,False
12,0.6000000000000001,77.77264513543024,4.020500826789244,25.87279926130827,-0.46623830082345824,-0.014743571006304568,-0.16669781496056918,False,False
13,0.65,77.74697400749987,4.382231525335973,26.110113303783045,3.7472295973864975,-0.012838823457401087,0.3009440717922553,False,False
14,0.7000000000000001,77.71897601212869,4.746905294339668,26.33378178881552,2.6314017949612563,-0.008805128792946277,0.6319078075323455,False,False
15,0.75,77.68927449705212,5.114381778508419,26.54458933595863,1.819741235180331,-0.0032552939550307552,0.8625327230553136,False,False
16,0.8,77.65833080439768,5.484524977082451,26.74327544914101,1.2364832072943384,0.0033592458663363745,1.0203827872387417,False,False
17,0.8500000000000001,77.62648271697283,5.857201859020989,26.9305371108154,0.8224681464333574,0.010710154403817923,1.1261055365637596,False,False
18,0.9,77.59397497464693,6.232282337209824,27.107031226943516,0.5323759722304777,0.018561745252001827,1.19498462890113,False,False
19,0.9500000000000001,77.56098309137955,6.609639765214933,27.27337693139426,0.33201145607374055,0.0431632518980673,-0.9007532228553806,False,False
