step,time_s,x_m,y_m,speed_kmh,steer_deg,ed_m,ephi_deg,route_progress,offroad,collision
1,0.05,78.0,0.30000000000000004,22.025216598603212,5.109971122486845,-0.0073024959781146275,-0.13806016205759883,0.06829359833636134,False,False
2,0.1,77.96979279488448,0.6044107007375021,22.789259739499226,-7.124685973994328,0.044910610366283965,-0.8181350431377532,0.13775870778664018,False,False
3,0.15000000000000002,78.02879470931991,0.9153803127719302,26.095625616323193,28.64788975654116,-0.05106804756657665,7.993749857637436,0.20822244498420872,False,False
4,0.2,77.8145281191425,1.2077021121840508,30.925364616557008,-28.64788975654116,0.214814391236169,-10.62822991058948,0.2759557964011773,False,False
5,0.25,78.11993496464206,1.5097173265605228,38.24604591679787,28.64788975654116,-0.15664844336378847,15.46125722756201,0.3430153074356761,False,False
6,0.30000000000000004,77.8458798440092,1.9276801321086254,37.219418586918664,-28.64788975654116,0.10715156851699917,14.854646718737298,0.42295438959967563,False,False
7,0.35000000000000003,77.80314270389833,2.44284452256076,37.281103358050885,-28.64788975654116,0.18523395999046313,8.832122109712907,0.5568455472323202,False,False
8,0.4,77.79077737836127,2.9569696976619038,36.5257329665932,-8.609876439522838,0.17240267810237042,6.722684853521075,0.6750398249166666,False,False
9,0.45,77.78138597429526,3.465728587941103,37.1553597589776,-28.005274708922407,0.15686388388435296,2.4568991969697698,0.7896843663568585,False,False
10,0.5,77.78652129455489,3.9769102647778474,36.79300138346912,13.684002277272421,0.1266971331003159,3.5289075870071795,0.9067779977731283,False,False
11,0.55,77.75315174809249,4.4872843865150935,37.77122383663148,-28.64788975654116,0.13502858816551558,-0.18073448037379447,1.024063009177778,False,False
12,0.6000000000000001,77.75232795802077,5.006687782800991,38.028851982790634,28.64788975654116,0.11041109693491627,3.00858896449016,1.1427790682732242,False,False
13,0.65,77.68567538574398,5.52699307496344,38.51878558988112,-28.64788975654116,0.15149920336177986,-0.21596113283280813,1.2631160025536694,False,False
14,0.7000000000000001,77.67826265279875,6.057903983065684,38.930840259438625,28.64788975654116,0.1599930442410098,0.1072176642591699,1.3848397620177013,False,False
15,0.75,77.60840438868533,6.590191648792719,39.35345201717886,-28.64788975654116,0.17660216672410822,-0.2026943481335451,1.5079678883602927,False,False
16,0.8,77.60000595877439,7.13280832987717,39.753887589927494,28.64788975654116,0.13134290556637365,0.09281814429236902,1.6323970456191286,False,False
17,0.8500000000000001,77.52862552779617,7.676413700827702,40.14356577162933,-28.64788975654116,0.14850138895176734,-3.069207030348465,1.758142771100479,False,False
18,0.9,77.5197809086621,8.23002595937752,40.51829670432099,28.64788975654116,0.10244021666952785,0.07992628952273259,1.885098871282081,False,False
19,0.9500000000000001,77.44717310340731,8.784184322603782,40.880053096551485,-28.64788975654116,0.11977424490700164,-3.056961199032287,2.0,False,False
20,1.0,77.43796590342617,9.348030344678659,41.22860227420068,28.64788975654116,0.07305971605276881,0.06821060277081427,2.145187503654876,False,False
21,1.05,77.36425344444895,9.911998090183705,41.5646226867189,-28.64788975654116,0.09052086345023946,-3.0457901367117364,2.2795973137542287,False,False
22,1.1,77.35470849426603,10.485351107794644,41.88845644430395,28.64788975654116,0.04320029136727918,0.05754541995210333,2.4113064317546855,False,False
23,1.1500000000000001,77.27998296769478,11.058430361029432,42.200576404150446,-28.64788975654116,0.06076658107917021,-3.0356127104235324,2.5478562248728895,False,False
24,1.2000000000000002,77.27011739424574,11.640612003545453,42.50139120815913,28.64788975654116,-0.024998283523257364,-2.9807189477336253,2.6816220478547765,False,False
25,1.25,77.1872089049971,12.221606144571341,42.63129494603632,-23.6899153230776,-0.031087442832039874,-5.327424303379312,2.820159157349264,False,False
26,1.3,77.15782593074984,12.810533616269396,43.12145200707292,28.64788975654116,-0.09128617634114336,-2.0344749638879556,2.9564489768877644,False,False
27,1.35,77.04631369164802,13.396329093034527,42.97543627579701,-12.636225978270948,-0.06982946401754243,-2.698222829029137,3.0984598269780936,False,False
28,1.4000000000000001,76.96294219522184,13.98738242976751,43.77840508696161,28.64788975654116,-0.07698527069012913,1.1129805127003733,3.2402676727747246,False,False
29,1.4500000000000002,76.8354735403179,14.577305242398468,43.8544715585883,-27.321659476514217,-0.04038183667473211,-1.6081355557946597,3.385650512060269,False,False
30,1.5,76.77425025379019,15.179821995331157,44.14583305151509,28.64788975654116,-0.07335852231084228,-1.753847745206698,3.5295449038346405,False,False
31,1.55,76.63977978823698,15.774500987784918,44.17605305326194,-22.726462995234588,-0.06523008834007388,-3.888269061851369,3.6763281795434777,False,False
32,1.6,76.55725844211172,16.380158499238394,44.631861684639134,28.64788975654116,-0.11019814353350749,-0.5709799336322279,3.822320875760386,False,False
33,1.6500000000000001,76.41633198452365,16.97954015668596,44.79425034547531,-28.64788975654116,-0.09673022402519041,-3.532426286306328,3.9698942401395625,False,False
34,1.7000000000000002,76.34308898267216,17.593436078782638,44.995440629285056,28.64788975654116,-0.15248434582239123,-0.5176580821319925,4.11859642556583,False,False
35,1.75,76.17340112918187,18.19273167543797,44.806183153207655,-8.789403905748056,-0.11086335125331122,-0.5618861943373415,4.274644914572262,False,False
36,1.8,76.02112691702484,18.796541764496986,45.5954813996393,28.64788975654116,-0.06255394002561354,-0.12474629218236119,4.428668188885089,False,False
37,1.85,75.83063856067864,19.395708667469357,45.68438480291813,-28.64788975654116,-0.025218427646277464,0.6651988733697725,4.583896161123933,False,False
38,1.9000000000000001,75.71026768167475,20.014633951319723,45.831614417865964,28.64788975654116,-0.09005830565756878,0.08656656154189404,4.74043939290053,False,False
39,1.9500000000000002,75.52268821236713,20.61884692736845,45.997474670607815,-28.64788975654116,-0.07154315277943021,-2.885116884679159,4.896801936616263,False,False
40,2.0,75.40127993607275,21.242021863705464,46.1479629078177,28.64788975654116,-0.12186060863803598,0.08860032386867542,5.0,False,False
41,2.0500000000000003,75.19204129682893,21.84500633607581,45.97881282327985,-14.747041989341243,-0.08215136250045527,-0.7992039947545491,5.220245864305981,False,False
42,2.1,75.01465930344045,22.457697991330136,46.593770739132594,28.64788975654116,-0.07573528546103397,2.9285162301357954,5.384548184450938,False,False
43,2.15,74.78986708943525,23.0597644780272,46.63916850485731,-28.64788975654116,-0.020796832151823597,0.11447488145088347,5.550715387814071,False,False
44,2.2,74.63381681650063,23.684332722285728,46.759521948728164,28.64788975654116,-0.08878694505463874,-0.9396553056292214,5.716800796192221,False,False
45,2.25,74.41019246621984,24.289944480838336,46.893479191720495,-28.42082453048124,-0.08134760997498636,-3.852918609982897,5.883782886475225,False,False
46,2.3000000000000003,74.25191169639363,24.917681488597278,47.02421825757714,28.64788975654116,-0.14288750719706622,-0.8907573617834885,6.0,False,False
47,2.35,73.99470397266172,25.515903278746944,46.77382470069289,-6.350710488919793,-0.1013322235248057,-0.481490982465221,6.228365265369296,False,False
48,2.4000000000000004,73.74846700228623,26.11755408593814,47.50325785069699,28.64788975654116,-0.03268298456763774,-0.8819541834890238,6.404502486877027,False,False
49,2.45,73.46669836512214,26.709161110156018,47.54912475940457,-28.64788975654116,-0.0043504593528888025,1.0480294448193412,6.581925420861177,False,False
50,2.5,73.25357254991945,27.32983011565416,47.60388432329109,28.64788975654116,-0.07868184870777911,-0.5851077657470424,6.760413036080054,False,False
51,2.5500000000000003,72.9743822255444,27.924894373322644,47.718267303469574,-28.64788975654116,-0.0681894046642696,-3.5059821060209413,6.938545163243547,False,False
52,2.6,72.7594744080905,28.547546073578992,47.797641209969534,28.64788975654116,-0.12763863257819313,-0.5771919763326205,7.1196938560735115,False,False
53,2.6500000000000004,72.4468114442639,29.130975214796376,47.52678638684456,-5.8518655901772645,-0.08184671862822562,-0.06270525921368506,7.312113667574726,False,False
54,2.7,72.14351486784471,29.717704634841976,48.22381370338161,28.64788975654116,-0.03424921583968066,-1.1404672622706453,7.501353470612295,False,False
55,2.75,71.80576686600058,30.29091275291187,48.25178137240102,-28.64788975654116,-0.02326260648653994,-3.7818639988337392,7.691697323299076,False,False
56,2.8000000000000003,71.53443004926302,30.899049983856333,48.27102188496264,28.64788975654116,-0.08727475800424528,-0.8127377289687401,7.883311497973535,False,False
57,2.85,71.17475531244811,31.46207436147234,48.00493708318241,-10.391231028167425,-0.05219146307056326,-0.9544178851529241,8.078167835059837,False,False
58,2.9000000000000004,70.83414321360688,32.03481445487078,48.598092523738515,28.64788975654116,-0.03848268097967905,3.052328849698244,8.280093386687529,False,False
59,2.95,70.45393127975161,32.58712956144132,48.59614498281781,-28.64788975654116,0.01974791530029929,0.37501666550935203,8.485077793172598,False,False
60,3.0,70.13700831556108,33.17824834194589,48.61116984409555,28.64788975654116,-0.04987194586532778,-2.897634939333525,8.688442358127258,False,False
61,3.0500000000000003,69.75302433716084,33.729282005736906,48.578527263790725,-24.61208889722185,-0.060605912739314066,-5.181765948810137,8.893783232517505,False,False
62,3.1,69.41955328918196,34.312231804124224,48.777319905354446,28.64788975654116,-0.13097955882149856,-2.032230373235664,9.0,False,False
63,3.1500000000000004,68.98490704388337,34.830797756853094,48.583309727403396,7.099319676423653,-0.08163016298914011,0.5363652095502042,9.319317611984824,False,False
64,3.2,68.54525402003867,35.343603185720454,48.86716750141107,17.24238607109214,-0.02517342183281135,-3.335748624987699,9.537686031266846,False,False
65,3.25,68.09586582815852,35.850273675218226,48.79437189001228,-13.128005334778527,-0.042358173500895824,-4.1057678147049375,9.756766237963227,False,False
66,3.3000000000000003,67.66107727200432,36.36831599457138,49.2115258353403,28.64788975654116,-0.07797526836416603,-0.3083041535834053,9.976152257916167,False,False
67,3.35,67.16255647703258,36.83224044374087,48.82938421338056,-7.865654008941125,-0.03007497441736623,0.1505918241284969,10.204779417181452,False,False
68,3.4000000000000004,66.67771850235623,37.3060359752427,49.3890160917949,28.64788975654116,0.0010872077869880092,4.368253103877599,10.435379720261304,False,False
69,3.45,66.16167490759344,37.751351555708574,49.382981222033514,-28.64788975654116,0.07449481203680286,1.7689659010513152,10.66886982400073,False,False
70,3.5,65.69743433451919,38.250184341845106,49.33371126315294,28.64788975654116,-0.08298645136096634,-3.5846989003509435,10.901041562938966,False,False
71,3.5500000000000003,65.1386363814621,38.64668704388963,49.33800735200279,14.888789621545982,-0.043351286328227934,0.15520989970261403,11.137849262593132,False,False
72,3.6,64.57100876493003,39.03015369200351,49.275419167816715,7.259154964115444,0.011978856524365367,2.5166041273800217,11.382729414018103,False,False
73,3.6500000000000004,63.997871165742104,39.40469140027696,49.38118693723584,11.164739026346474,0.03054939586496125,-4.301750309882268,11.627196755433825,False,False
