step,time_s,x_m,y_m,speed_kmh,steer_deg,ed_m,ephi_deg,offroad,collision
1,0.05,77.99354254166691,0.3066403479126444,22.083,11.297394303425861,-0.05147757864612783,-1.726362716703137,False,False
2,0.1,77.98207383013055,0.6194611216598883,22.5382275,8.246446055203593,-0.056029046768257006,-0.8331096778673853,False,False
3,0.15000000000000002,77.96683239928903,0.9380867856223887,22.96727941875,5.80931210807998,-0.05710973818653449,-0.19411008883590028,False,False
4,0.2,77.94884192790227,1.262194265219308,23.371660852171875,3.9244027519193954,-0.05572546112899862,0.24433736763659744,False,False
5,0.25,77.92892231872882,1.5914922013925181,23.752790353171992,2.5085530312969735,-0.05268013740751445,0.5289079887457219,False,False
6,0.30000000000000004,77.9077112074533,1.9257087514240145,24.112004907864602,1.4746828337093605,-0.048596659015273984,0.6986550939700676,False,False
7,0.35000000000000003,77.88518674478927,2.264552100129065,24.450564625662388,1.470998370470946,-0.011942046195096478,0.04472729923555274,False,False
8,0.4,77.86169130522318,2.607771854704452,24.769657159686798,0.9558475988551772,-0.01099492962752023,0.1577390117477923,False,False
9,0.45,77.83748801806543,2.955129680306351,25.07040187300481,0.5824776145214069,-0.009612735198910288,0.2274385677500738,False,False
10,0.5,77.81277505228623,3.306398289749202,25.353853765307033,0.318140007643743,-0.007978307183600403,0.2659368405998092,False,False
11,0.55,77.7876986849782,3.661360952963799,25.62100717380188,0.13595840866996606,-0.006223401591225655,0.282562451051951,False,False
12,0.6000000000000001,77.762364695857,4.019811244322068,25.87279926130827,0.014474476649175857,-0.004440039598933399,0.2843498471798765,False,False
13,0.65,77.73684793992119,4.381552865160526,26.110113303783045,-0.06304765785630452,-0.0026900479901937257,0.27649292586164786,False,False
14,0.7000000000000001,77.71120014824005,4.746399458026686,26.33378178881552,-0.10939136409301359,-0.001012830989791904,0.2627439195050406,False,False
15,0.75,77.68545612065319,5.114174377588198,26.54458933595863,-0.13413416870894113,0.0005684653717584962,0.2457501101836365,False,False
16,0.8,77.65963852832463,5.484710410238282,26.74327544914101,-0.1443195433855645,0.002042179412399009,0.22732902644947672,False,False
17,0.8500000000000001,77.63376155849669,5.85784944791268,26.9305371108154,-0.14503188098075206,0.0034045182644259625,0.20868739417093665,False,False
18,0.9,77.60335102058127,6.233105783786158,27.107031226943516,5.13406638513699,0.009151887747007773,0.8747000677731991,False,False
19,0.9500000000000001,77.56966848100646,6.610402191614207,27.27337693139426,3.593454367165843,0.034445492407671224,-0.7958794951049286,False,False
20,1.0,77.53363490589412,6.98966870088761,27.43015775783909,2.487255766421924,0.03132007273441442,-0.4700456485920141,False,False
21,1.05,77.49591811672657,7.370833901841826,27.577923686763345,1.6997591837791557,0.029673874995020597,-0.2462503754640768,False,False
22,1.1,77.45699932769396,7.753822558167554,27.71719307477445,1.1436043727551732,0.029035962052105596,-0.094943993379728,False,False
23,1.1500000000000001,77.41722321819786,8.138555963677142,27.848454472974918,0.7539548161673845,0.029071565474848567,0.0052740687009115396,False,False
24,1.2000000000000002,77.37683526523232,8.524953272076528,27.97216834077886,0.483262796039639,0.02954481410728364,0.06979406131761644,False,False
25,1.25,77.33600934591871,8.912932978986253,28.088768661184076,0.2969786273896745,0.030291125345313644,0.10960810611767557,False,False
26,1.3,77.2948679898222,9.30241421960546,28.198664463165994,0.17018931943820992,0.031196926673705674,0.13251344035015425,False,False
27,1.35,77.25349713168859,9.693317779743492,28.302241256533947,0.08505257120939247,0.032184877126970365,0.14400246363193825,False,False
28,1.4000000000000001,77.21195678490002,10.085566822468772,28.399862384283242,0.028870457019740673,0.033203175661576295,0.14791577537174258,False,False
29,1.4500000000000002,77.16371003389112,10.478335077869682,28.491870297186956,7.0077427237990415,0.04083903803250516,1.105653937191244,False,False
30,1.5,77.11082807029973,10.871721425552476,28.578587755098706,4.777987850254348,0.056555822912981585,-1.097297808371604,False,False
31,1.55,77.0547518649567,11.265811784843025,28.660318959180533,3.229087792745819,0.052004493869445,-0.6551214314806179,False,False
32,1.6,76.99648086129302,11.660665103210398,28.73735061902765,2.1606957692180004,0.04950628803259449,-0.3586240877727063,False,False
33,1.6500000000000001,76.93670615554568,12.056313421908861,28.809952958433566,1.4279398840817281,0.0483732827867806,-0.16223519706931613,False,False
34,1.7000000000000002,76.87590411618055,12.452766689473151,28.878380663323632,0.9280926274624622,0.0481331443319691,-0.03430394203334154,False,False
35,1.75,76.81440199709093,12.850018389803093,28.942873775182523,0.5890906651771266,0.04846342223293908,0.047075294212295955,False,False
36,1.8,76.75242379966265,13.248050519861973,29.003658533109526,0.36071457908266435,0.04914546402182887,0.09700933728157672,False,False
37,1.85,76.69012224472789,13.646837525344626,29.060948167455727,0.20812937179873073,0.05003221670254922,0.12587752881408387,False,False
38,1.9000000000000001,76.62760100123838,14.046349229496743,29.114943647827026,0.10726093320544311,0.05102581127383851,0.14078254825880443,False,False
39,1.9500000000000002,76.5649300980185,14.446552929282046,29.16583438807697,0.04152658087389298,0.05206201148650991,0.14656317823467205,False,False
40,2.0,76.4940538269586,14.846061815622718,29.21379891076255,8.261671211925096,0.06131374420267266,1.3065553448078502,False,False
41,2.0500000000000003,76.41766806473537,15.24519326983212,29.2590054733937,5.5265447478223955,0.0617254873541202,-1.1656629619608505,False,False
42,2.1,76.33759878421124,15.644205702214588,29.30161265867356,3.6596643899421104,0.05708626778223608,-0.6531575332080207,False,False
43,2.15,76.25508072340621,16.043288469167297,29.34176993079983,2.395103379057527,0.054827694175989955,-0.3175450106200557,False,False
44,2.2,76.17094707505342,16.442570997649277,29.37961815977884,1.5433920559792365,0.05410787162099542,-0.10107288395398921,False,False
45,2.25,76.0857585036176,16.84213637785333,29.415290115591553,0.9728001589467236,0.054361112045627394,0.03551526451696077,False,False
46,2.3000000000000003,75.99989089499877,17.242033993715086,29.448910933945044,0.5928201152889059,0.05520947602034362,0.11884158075385536,False,False
47,2.35,75.91359503399195,17.642289643482602,29.480598555243205,0.34165243701959996,0.0564022952055141,0.16691449847355272,False,False
48,2.4000000000000004,75.82703717311738,18.042913096855802,29.510464138316717,0.17725606737815278,0.057774918828403826,0.19188073323898697,False,False
49,2.45,75.74032658904383,18.44390351639753,29.538612450363505,0.07110653311732565,0.05922063225847152,0.2019055012934583,False,False
50,2.5,75.6444500421705,18.843180614100923,29.565142234467604,9.13936094749218,0.06998823016347683,1.5026013301136893,False,False
51,2.5500000000000003,75.54250927951644,19.2413111472426,29.59014655598572,6.062641678291392,0.06970640148712542,-1.2315297105632965,False,False
52,2.6,75.43657596375344,19.63873675677593,29.61371312901654,3.9780247596358946,0.06490858945491196,-0.6683675291889344,False,False
53,2.6500000000000004,75.32803304761069,20.035777410016088,29.635924624098088,2.577343558740229,0.06272780685419885,-0.3035645493014011,False,False
54,2.7,75.21780250101683,20.43265460913252,29.65685895821245,1.6416804150937125,0.06221647650736133,-0.07112653579128778,False,False
55,2.75,75.1064974793145,20.829516428070836,29.676589568115233,1.0199767120284202,0.0627442075913456,0.07335908951358971,False,False
56,2.8000000000000003,74.99452421972697,21.22645858933233,29.69518566794861,0.6093743665423321,0.06389398400391699,0.159728730986713,False,False
57,2.85,74.88215038917139,21.623540529681993,29.712712492041568,0.3402836813328859,0.06539201359086375,0.20798603371778576,False,False
58,2.9000000000000004,74.76955097491216,22.020797035333025,29.729231523749178,0.1657843846408803,0.06706039892592286,0.23150959284654896,False,False
59,2.95,74.6471064682775,22.415356690454427,29.744800711133603,9.87388156897948,0.07893645089273299,1.6473124818454914,False,False
60,3.0,74.5181740007061,22.808058653448956,29.759474670243417,6.556336274195704,0.0944863504827263,-1.4450277363204354,False,False
61,3.0500000000000003,74.38497914337658,23.199538369741177,29.773304876704422,4.312337106800411,0.08848848720141478,-0.8310743435042659,False,False
62,3.1,74.24899875218816,23.59025096481152,29.786339846293917,2.807520524930947,0.08537201053502713,-0.43162438831703326,False,False
63,3.1500000000000004,74.11121285728431,23.980511461310552,29.798625305132017,1.8038715237238718,0.08410801281319329,-0.1749870323417897,False,False
64,3.2,73.97227104871446,24.370532646369355,29.810204350086924,1.1374928885630595,0.08401316959698699,-0.013124913573008894,False,False
65,3.25,73.83260282762794,24.760455297174385,29.821117599956924,0.6971809288548612,0.08463564645814631,0.0861101982947676,False,False
66,3.3000000000000003,73.69249102963927,25.15037058041685,29.8314033379594,0.40799805230141667,0.08567841732749487,0.14420183721137803,False,False
67,3.35,73.55212078648007,25.540336000780247,29.841097646026732,0.21961638601527952,0.08694779038079553,0.17548107602063379,False,False
68,3.4000000000000004,73.40067369447901,25.926270994689787,29.850234531380195,11.287209441789948,0.10000423346292908,1.804696080702958,False,False
69,3.45,73.24196223360114,26.30940530589736,29.858846045825832,7.50495649636758,0.12061769766593922,-1.7180441215544602,False,False
70,3.5,73.07849538413905,26.690657620434198,29.86696239819085,4.94263100284892,0.11329325695016135,-1.0117218067780749,False,False
71,3.5500000000000003,72.91192850311288,27.070681789104444,29.87461206029488,3.2246103264702386,0.10929981101881114,-0.5514515582341678,False,False
72,3.6,72.74335518263128,27.449929779656827,29.881821866827924,2.0795344325683627,0.10745461290509185,-0.25473726936456026,False,False
73,3.6500000000000004,72.57349782755738,27.82870785369799,29.88861710948532,1.3196997498278344,0.1069732046955553,-0.06644509042328131,False,False
74,3.7,72.40283289431031,28.20722032383683,29.895021625689914,0.8177056132357755,0.10733725155110548,0.050235831695212625,False,False
75,3.75,72.23167361484923,28.58560153000335,29.90105788221274,0.4878124026374283,0.1082059812939094,0.11985428975052932,False,False
76,3.8000000000000003,72.06022484116009,28.963938403830806,29.90674705398551,0.27254751431962854,0.10935691064071146,0.15875783619414677,False,False
77,3.85,71.8758076570114,29.336209336917864,29.91210909838134,13.572516561532733,0.12482323013199204,2.1335137137298723,False,False
78,3.9000000000000004,71.68298255744759,29.704274755261082,29.917162825224413,9.004363523100226,0.13390725398159165,-1.8962412792374908,False,False
79,3.95,71.48471914922808,30.06951477664746,29.921925962774008,5.895624092709721,0.1262823638891784,-1.0512924414604352,False,False
80,4.0,71.28295949590569,30.432906469195665,29.9264152199145,3.810916309535345,0.12261051986949201,-0.5061628939597341,False,False
81,4.05,71.07897681078724,30.795122425196183,29.930646344769418,2.424407339824678,0.1214524068272663,-0.15962119128107025,False,False
82,4.1000000000000005,70.87360610936486,31.156616908518433,29.934634179945178,1.5077043155979297,0.12185758696819274,0.0558379407554031,False,False
83,4.15,70.66739399008162,31.51769218853016,29.938392714598333,0.905108131763133,0.12320148571657896,0.18517994615808234,False,False
84,4.2,70.4606966836079,31.87854664383563,29.941935133508927,0.511760343458078,0.12507637171179403,0.2583161742376726,False,False
85,4.25,70.23953843524566,32.230778547078984,29.94527386333216,15.815990088022392,0.14378366970973244,2.57800914760782,False,False
86,4.3,70.0090997796282,32.57706263088908,29.948420616190564,10.50397120157951,0.15886878887416545,-2.1165324274844344,False,False
87,4.3500000000000005,69.77271354642583,32.91936433800077,29.95138643075961,6.8636778438378565,0.15066045274819345,-1.1306326347187807,False,False
88,4.4,69.5325390828688,33.25906632335828,29.954181710990927,4.417203067317234,0.14704541651646483,-0.49786980586847834,False,False
89,4.45,69.28998182153997,33.59711607419596,29.95681626260895,2.7904051928187195,0.14632950655791296,-0.09858664583155168,False,False
90,4.5,69.04595806147012,33.934151328410906,29.959299327508937,1.716429072421416,0.1473964829973913,0.14691927693822038,False,False
91,4.55,68.80106445086638,34.27059527401038,29.961639616177173,1.0121562440357181,0.14951487501681932,0.2916740287244144,False,False
92,4.6000000000000005,68.5410306911069,34.595518880902674,29.963845338246987,17.7288173468432,0.1706514490504173,2.9112470806742015,False,False
93,4.65,68.2713385467977,34.91250955415149,29.965924231297787,11.859144402788166,0.21752842927317806,-2.599206717254857,False,False
94,4.7,67.99546801398382,35.2241745048201,29.967883587998163,7.8022306194359645,0.20680518680486587,-1.4762953015515605,False,False
95,4.75,67.71565274698696,35.532337384238645,29.969730281688268,5.063077142892219,0.20135536963335945,-0.7501819940947645,False,False
96,4.800000000000001,67.43333792480968,35.838244903125236,29.971470790491196,3.235972148428127,0.1992717731917516,-0.2867890027375749,False,False
97,4.8500000000000005,67.14946292279514,36.14273631692891,29.97311122003795,2.026238523121688,0.19929500632493724,0.0031976511758957716,False,False
98,4.9,66.86463916437174,36.44636988496894,29.974657324885765,1.2301336158776266,0.20059716879455625,0.1792118752455442,False,False
99,4.95,66.57926385252894,36.749512921077084,29.976114528704837,0.7097193105697213,0.20263725690669354,0.2807569091484975,False,False
100,5.0,66.27749884645057,37.03637270174844,29.977487943304304,21.200780049013584,0.2277690337912166,3.460566242685037,False,False
101,5.050000000000001,65.96552594752049,37.312123556790354,29.97878238656431,14.211629927690103,0.22931863496624788,-2.7602372357630705,False,False
102,5.1000000000000005,65.64716173737159,37.58049636509624,29.980002399336865,9.30475188706704,0.21902183546698256,-1.4170004707143153,False,False
103,5.15,65.32480279238997,37.84408267943024,29.981152261374994,5.973322977027506,0.21495826825314024,-0.559140756671108,False,False
104,5.2,64.99997366674097,38.10464286313954,29.98223600634593,3.750632922829306,0.21480085573988672,-0.021658599654263363,False,False
105,5.25,64.67365208484001,38.3633543060512,29.983257435981034,2.2831558785527433,0.2170194060213006,0.30524435819308027,False,False
