step,time_s,x_m,y_m,speed_kmh,steer_deg,ed_m,ephi_deg,offroad,collision
1,0.05,78.0,0.30000000000000004,22.025216598603212,5.109971122486845,-0.0073024959781146275,-0.13806016205759883,False,False
2,0.1,77.96979279488448,0.6044107007375021,22.789259739499226,-7.124685973994328,0.044910610366283965,-0.8181350431377532,False,False
3,0.15000000000000002,78.02879470931991,0.9153803127719302,26.095625616323193,28.64788975654116,-0.05106804756657665,7.993749857637436,False,False
4,0.2,77.8145281191425,1.2077021121840508,30.925364616557008,-28.64788975654116,0.214814391236169,-10.62822991058948,False,False
5,0.25,78.11993496464206,1.5097173265605228,38.24604591679787,28.64788975654116,-0.15664844336378847,15.46125722756201,False,False
6,0.30000000000000004,77.8458798440092,1.9276801321086254,37.219418586918664,-28.64788975654116,0.10715156851699917,14.854646718737298,False,False
7,0.35000000000000003,77.80314270389833,2.44284452256076,37.281103358050885,-28.64788975654116,0.18523395999046313,8.832122109712907,False,False
8,0.4,77.79077737836127,2.9569696976619038,36.5257329665932,-8.609876439522838,0.17240267810237042,6.722684853521075,False,False
9,0.45,77.78138597429526,3.465728587941103,37.1553597589776,-28.005274708922407,0.15686388388435296,2.4568991969697698,False,False
10,0.5,77.78652129455489,3.9769102647778474,36.79300138346912,13.684002277272421,0.1266971331003159,3.5289075870071795,False,False
11,0.55,77.75315174809249,4.4872843865150935,37.77122383663148,-28.64788975654116,0.13502858816551558,-0.18073448037379447,False,False
12,0.6000000000000001,77.75232795802077,5.006687782800991,38.028851982790634,28.64788975654116,0.11041109693491627,3.00858896449016,False,False
13,0.65,77.68567538574398,5.52699307496344,38.51878558988112,-28.64788975654116,0.15149920336177986,-0.21596113283280813,False,False
14,0.7000000000000001,77.67826265279875,6.057903983065684,38.930840259438625,28.64788975654116,0.1599930442410098,0.1072176642591699,False,False
15,0.75,77.60840438868533,6.590191648792719,39.35345201717886,-28.64788975654116,0.17660216672410822,-0.2026943481335451,False,False
16,0.8,77.60000595877439,7.13280832987717,39.753887589927494,28.64788975654116,0.13134290556637365,0.09281814429236902,False,False
17,0.8500000000000001,77.52862552779617,7.676413700827702,40.14356577162933,-28.64788975654116,0.14850138895176734,-3.069207030348465,False,False
18,0.9,77.5197809086621,8.23002595937752,40.51829670432099,28.64788975654116,0.10244021666952785,0.07992628952273259,False,False
19,0.9500000000000001,77.44717310340731,8.784184322603782,40.880053096551485,-28.64788975654116,0.11977424490700164,-3.056961199032287,False,False
20,1.0,77.43796590342617,9.348030344678659,41.22860227420068,28.64788975654116,0.07305971605276881,0.06821060277081427,False,False
21,1.05,77.36425344444895,9.911998090183705,41.5646226867189,-28.64788975654116,0.09052086345023946,-3.0457901367117364,False,False
22,1.1,77.35470849426603,10.485351107794644,41.88845644430395,28.64788975654116,0.04320029136727918,0.05754541995210333,False,False
23,1.1500000000000001,77.27998296769478,11.058430361029432,42.200576404150446,-28.64788975654116,0.06076658107917021,-3.0356127104235324,False,False
24,1.2000000000000002,77.27011739424574,11.640612003545453,42.50139120815913,28.64788975654116,-0.024998283523257364,-2.9807189477336253,False,False
25,1.25,77.1872089049971,12.221606144571341,42.63129494603632,-23.6899153230776,-0.031087442832039874,-5.327424303379312,False,False
26,1.3,77.15782593074984,12.810533616269396,43.12145200707292,28.64788975654116,-0.09128617634114336,-2.0344749638879556,False,False
27,1.35,77.04631369164802,13.396329093034527,42.97543627579701,-12.636225978270948,-0.06982946401754243,-2.698222829029137,False,False
28,1.4000000000000001,76.96294219522184,13.98738242976751,43.77840508696161,28.64788975654116,-0.07698527069012913,1.1129805127003733,False,False
29,1.4500000000000002,76.8354735403179,14.577305242398468,43.8544715585883,-27.321659476514217,-0.04038183667473211,-1.6081355557946597,False,False
30,1.5,76.77425025379019,15.179821995331157,44.14583305151509,28.64788975654116,-0.07335852231084228,-1.753847745206698,False,False
31,1.55,76.63977978823698,15.774500987784918,44.17605305326194,-22.726462995234588,-0.06523008834007388,-3.888269061851369,False,False
32,1.6,76.55725844211172,16.380158499238394,44.631861684639134,28.64788975654116,-0.11019814353350749,-0.5709799336322279,False,False
33,1.6500000000000001,76.40181955360315,16.97687818829776,44.52547735261489,-18.691797389384845,-0.0819813104293081,-2.054019012964425,False,False
34,1.7000000000000002,76.28941582976205,17.583576965630545,45.09692913075337,28.64788975654116,-0.09793366966293242,1.469639485231015,False,False
35,1.75,76.1211158927449,18.18260106735319,45.136713505726725,-26.29730275158054,-0.057614030780411635,-1.089877314507972,False,False
36,1.8,76.01534802680531,18.79718829544731,45.41654393151793,28.64788975654116,-0.08169487379258439,2.04291634296363,False,False
37,1.85,75.84003497641928,19.39931561016928,45.46029941040385,-24.76866757405722,-0.035158821390345374,-0.34328843747387483,False,False
38,1.9000000000000001,75.72191237577643,20.01661238068501,45.78904899363655,28.64788975654116,-0.10180671703225957,-0.7408568175779979,False,False
39,1.9500000000000002,75.54167107500692,20.622271368394184,45.92736446275198,-28.539889158270256,-0.0907485770034678,-3.6656056541619213,False,False
40,2.0,75.42847496113747,21.246064163914347,46.09064719546231,28.64788975654116,-0.14914267686148763,-0.6783374629642216,False,False
41,2.0500000000000003,75.2181633293506,21.848479301448947,45.869635640042574,-8.256021721345352,-0.10824699498447451,-0.5947986178582967,False,False
42,2.1,75.02374054723342,22.455512520598955,46.61606701336869,28.64788975654116,-0.043759670138716955,-0.5484840131329956,False,False
43,2.15,74.79125014697847,23.05494021607709,46.680019948642226,-28.64788975654116,-0.020834224285297798,0.7402846599941367,False,False
44,2.2,74.62839077903973,23.67828312842787,46.780496895941894,28.64788975654116,-0.08164551425047178,-0.30268647152064526,False,False
45,2.25,74.39850448838408,24.281837920958367,46.918392586223355,-28.64788975654116,-0.0676170778557457,-3.2472396728237105,False,False
46,2.3000000000000003,74.23420800190462,24.908289606158508,47.03194722863389,28.64788975654116,-0.12305875376019432,-0.29799425216120795,False,False
47,2.35,73.97778061583173,25.50647056980052,46.801536173425504,-11.222388498076636,-0.08222486314890953,-0.6232151627013788,False,False
48,2.4000000000000004,73.74413846995466,26.112783223767337,47.45220213113121,28.64788975654116,-0.06558376797693416,3.3119855162529004,False,False
49,2.45,73.46818601380893,26.70634440886385,47.4790816766594,-28.64788975654116,-0.004806680476773018,0.5723878880168602,False,False
50,2.5,73.26030809764084,27.327834633967633,47.552622353938375,28.64788975654116,-0.08400586502599777,-1.0696709780851705,False,False
51,2.5500000000000003,72.98620812393852,27.924469337211335,47.66958860783537,-28.64788975654116,-0.07879996265327044,-3.9939224807334166,False,False
52,2.6,72.77667133490344,28.54826735571409,47.756861254874856,28.64788975654116,-0.14361770722115602,-1.0642389449393095,False,False
53,2.6500000000000004,72.46366681430538,29.13130525516851,47.50076864814547,-1.8588654873691426,-0.09735379690034202,0.05086769058796305,False,False
54,2.7,72.15091079645039,29.713140522196564,48.22651978080754,28.37878210635943,-0.03843066293180808,-0.8337545618809206,False,False
55,2.75,71.80975302676846,30.284350006313886,48.25645161586048,-28.64788975654116,-0.02349210571774668,-3.4435037341754255,False,False
56,2.8000000000000003,71.53510060491067,30.89101615106346,48.26532139067687,28.64788975654116,-0.08389448368372857,-0.46812900610007746,False,False
57,2.85,71.17491269852317,31.453424205852937,48.016977811672554,-12.389776512602417,-0.04806075309143744,-0.910990959439042,False,False
58,2.9000000000000004,70.8382438010781,32.02830788043812,48.56918801823196,28.64788975654116,-0.038839424574962644,2.9761581203248793,False,False
59,2.95,70.45945031814941,32.58108450195073,48.553748337286954,-28.64788975654116,0.017929673033856952,0.27311352854529175,False,False
60,3.0,70.1437362751658,33.17222157066471,48.578620729106305,28.64788975654116,-0.051805471478565346,-3.0036671958401744,False,False
61,3.0500000000000003,69.75994525518448,33.7229095441638,48.527667709290945,-23.86218034816303,-0.062493820559601676,-5.1761878286939496,False,False
62,3.1,69.42501988821303,34.30442714183494,48.75717956211315,28.64788975654116,-0.1308502193316094,-1.9808479952954492,False,False
63,3.1500000000000004,68.99057152283035,34.82270505462118,48.54967218096374,6.557268317287216,-0.08149290978940671,0.5139980148499088,False,False
64,3.2,68.55133639360224,35.335307112513526,48.864189768377436,18.17313279514139,-0.023959383229193332,-3.249596724705854,False,False
65,3.25,68.10192877739084,35.841580757201584,48.79685304273045,-15.01485342724752,-0.04085915943098628,-4.256376618402942,False,False
66,3.3000000000000003,67.67202359033926,36.36331609057349,49.17110949336573,28.64788975654116,-0.0825660761538506,-0.5644517383157533,False,False
67,3.35,67.17389846375671,36.827203116332036,48.797432862239035,-5.724174207707771,-0.03492950218532359,0.1949890160289476,False,False
68,3.4000000000000004,66.68506617071499,37.296658628703035,49.39083808504263,28.64788975654116,0.0021140229754922357,4.539484970193976,False,False
69,3.45,66.1672688128606,37.73995897190684,49.39125300958178,-28.64788975654116,0.0781787588851035,1.9673924274223749,False,False
70,3.5,65.70132829953096,38.23732439810297,49.3349864220096,28.64788975654116,-0.07537987128091526,-3.380652151164539,False,False
71,3.5500000000000003,65.1429849910893,38.63417698582171,49.28537948381124,13.014699536440771,-0.0363019698769948,0.07580844939419333,False,False
72,3.6,64.57650179300862,39.01856559686826,49.30434499874086,10.0155032716209,0.017593247830555936,2.738110034392498,False,False
73,3.6500000000000004,64.00332047439568,39.393269794934,49.30523750541512,5.2118342701526466,0.03782007637546625,-4.838088017383157,False,False
74,3.7,63.42624829725971,39.76221343613325,49.34802927309749,5.773198406228443,1.34128483161855e-06,-3.440563574760226,False,False
75,3.75,62.82207001571365,40.087224000366064,49.95859061875089,28.64788975654116,0.013765160166964371,1.3928590463837307,False,False
76,3.8000000000000003,62.19593416302602,40.37724401836774,49.6620116555658,-19.593886186600916,0.06879319843152193,0.33244106467906076,False,False
77,3.85,61.595924349409046,40.71224147126626,49.878665002093435,28.64788975654116,0.0718105872164908,3.8758946603911504,False,False
78,3.9000000000000004,60.96045322120575,40.979950350554724,49.641967259666174,-18.568282849415635,-0.01854349771787174,-7.177198386824531,False,False
79,3.95,60.34556624620261,41.28700602481874,49.9322011286991,28.64788975654116,-0.10195300450059834,-3.631631329523011,False,False
80,4.0,59.67451329734104,41.46508747689444,50.23401791126835,25.11448105225036,-0.04502624594652049,1.8323384891012677,False,False
81,4.05,58.99792823907903,41.623647647168056,49.76850144562403,-7.491526257498695,0.03214723659125507,2.6718636985755286,False,False
82,4.1000000000000005,58.330043909923795,41.79836353548934,50.168086677660526,28.64788975654116,-0.08892553098341505,-2.9568441095532476,False,False
83,4.15,57.63787596575143,41.87167495293865,49.962128967937225,11.017517583767326,-0.045677620605707674,0.5493783338345816,False,False
84,4.2,56.94589741941585,41.92782784618177,50.10474028006978,16.140323967049316,0.014456498978056287,4.130910935238067,False,False
